lhs,rhs,support,confidence,lift
frozen vegetables,"ground beef, spaghetti",1.98%,25.00%,6.3125
spaghetti,"ground beef, frozen vegetables",1.98%,10.00%,5.05
"mineral water, frozen vegetables",spaghetti,2.97%,75.00%,3.7874999999999996
"mineral water, spaghetti",frozen vegetables,2.97%,37.50%,4.734375
"frozen vegetables, spaghetti",mineral water,2.97%,60.00%,2.3307692307692305
mineral water,"frozen vegetables, spaghetti",2.97%,11.54%,2.3307692307692305
frozen vegetables,"mineral water, spaghetti",2.97%,37.50%,4.734375
spaghetti,"mineral water, frozen vegetables",2.97%,15.00%,3.7874999999999996
"turkey, mineral water",frozen vegetables,1.98%,50.00%,6.3125
"turkey, frozen vegetables",mineral water,1.98%,66.67%,2.58974358974359
"mineral water, frozen vegetables",turkey,1.98%,50.00%,5.611111111111112
turkey,"mineral water, frozen vegetables",1.98%,22.22%,5.611111111111112
mineral water,"turkey, frozen vegetables",1.98%,7.69%,2.58974358974359
frozen vegetables,"turkey, mineral water",1.98%,25.00%,6.3125
"mineral water, milk",ground beef,1.98%,66.67%,11.222222222222223
"mineral water, ground beef",milk,1.98%,40.00%,5.7714285714285705
"ground beef, milk",mineral water,1.98%,100.00%,3.8846153846153846
mineral water,"ground beef, milk",1.98%,7.69%,3.8846153846153846
milk,"mineral water, ground beef",1.98%,28.57%,5.7714285714285705
ground beef,"mineral water, milk",1.98%,33.33%,11.222222222222223
"ground beef, milk",spaghetti,1.98%,100.00%,5.05
"ground beef, spaghetti",milk,1.98%,50.00%,7.2142857142857135
"milk, spaghetti",ground beef,1.98%,50.00%,8.416666666666668
ground beef,"milk, spaghetti",1.98%,33.33%,8.416666666666668
milk,"ground beef, spaghetti",1.98%,28.57%,7.2142857142857135
spaghetti,"ground beef, milk",1.98%,10.00%,5.05
"mineral water, spaghetti",ground beef,2.97%,37.50%,6.3125
"mineral water, ground beef",spaghetti,2.97%,60.00%,3.03
"ground beef, spaghetti",mineral water,2.97%,75.00%,2.9134615384615383
mineral water,"ground beef, spaghetti",2.97%,11.54%,2.9134615384615383
spaghetti,"mineral water, ground beef",2.97%,15.00%,3.03
ground beef,"mineral water, spaghetti",2.97%,50.00%,6.3125
"honey, shrimp",low fat yogurt,1.98%,66.67%,8.416666666666668
"honey, low fat yogurt",shrimp,1.98%,100.00%,16.833333333333336
"shrimp, low fat yogurt",honey,1.98%,100.00%,20.2
honey,"shrimp, low fat yogurt",1.98%,40.00%,20.2
shrimp,"honey, low fat yogurt",1.98%,33.33%,16.833333333333336
low fat yogurt,"honey, shrimp",1.98%,25.00%,8.416666666666668
"mineral water, milk",spaghetti,1.98%,66.67%,3.3666666666666667
"mineral water, spaghetti",milk,1.98%,25.00%,3.6071428571428568
milk,"mineral water, spaghetti",1.98%,28.57%,3.6071428571428568
spaghetti,"mineral water, milk",1.98%,10.00%,3.3666666666666667
"milk, soup",spaghetti,1.98%,100.00%,5.05
"milk, spaghetti",soup,1.98%,50.00%,5.611111111111112
"soup, spaghetti",milk,1.98%,100.00%,14.428571428571427
milk,"soup, spaghetti",1.98%,28.57%,14.428571428571427
soup,"milk, spaghetti",1.98%,22.22%,5.611111111111112
spaghetti,"milk, soup",1.98%,10.00%,5.05
"mineral water, shrimp",olive oil,1.98%,100.00%,33.66666666666667
"mineral water, olive oil",shrimp,1.98%,66.67%,11.222222222222223
"shrimp, olive oil",mineral water,1.98%,100.00%,3.8846153846153846
mineral water,"shrimp, olive oil",1.98%,7.69%,3.8846153846153846
shrimp,"mineral water, olive oil",1.98%,33.33%,11.222222222222223
olive oil,"mineral water, shrimp",1.98%,66.67%,33.66666666666667
"mineral water, olive oil",spaghetti,1.98%,66.67%,3.3666666666666667
"mineral water, spaghetti",olive oil,1.98%,25.00%,8.416666666666668
"olive oil, spaghetti",mineral water,1.98%,100.00%,3.8846153846153846
mineral water,"olive oil, spaghetti",1.98%,7.69%,3.8846153846153846
olive oil,"mineral water, spaghetti",1.98%,66.67%,8.416666666666668
spaghetti,"mineral water, olive oil",1.98%,10.00%,3.3666666666666667
"mineral water, salmon",spaghetti,1.98%,50.00%,2.525
"mineral water, spaghetti",salmon,1.98%,25.00%,5.05
"salmon, spaghetti",mineral water,1.98%,66.67%,2.58974358974359
mineral water,"salmon, spaghetti",1.98%,7.69%,2.58974358974359
salmon,"mineral water, spaghetti",1.98%,40.00%,5.05
spaghetti,"mineral water, salmon",1.98%,10.00%,2.525
"mineral water, spaghetti",tomatoes,1.98%,25.00%,8.416666666666668
"mineral water, tomatoes",spaghetti,1.98%,100.00%,5.05
"spaghetti, tomatoes",mineral water,1.98%,100.00%,3.8846153846153846
mineral water,"spaghetti, tomatoes",1.98%,7.69%,3.8846153846153846
spaghetti,"mineral water, tomatoes",1.98%,10.00%,5.05
tomatoes,"mineral water, spaghetti",1.98%,66.67%,8.416666666666668
"turkey, mineral water",spaghetti,1.98%,50.00%,2.525
"turkey, spaghetti",mineral water,1.98%,100.00%,3.8846153846153846
"mineral water, spaghetti",turkey,1.98%,25.00%,2.805555555555556
turkey,"mineral water, spaghetti",1.98%,22.22%,2.805555555555556
mineral water,"turkey, spaghetti",1.98%,7.69%,3.8846153846153846
spaghetti,"turkey, mineral water",1.98%,10.00%,2.525
"turkey, mineral water",tomatoes,1.98%,50.00%,16.833333333333336
"turkey, tomatoes",mineral water,1.98%,100.00%,3.8846153846153846
"mineral water, tomatoes",turkey,1.98%,100.00%,11.222222222222223
turkey,"mineral water, tomatoes",1.98%,22.22%,11.222222222222223
mineral water,"turkey, tomatoes",1.98%,7.69%,3.8846153846153846
tomatoes,"turkey, mineral water",1.98%,66.67%,16.833333333333336
"turkey, spaghetti",tomatoes,1.98%,100.00%,33.66666666666667
"turkey, tomatoes",spaghetti,1.98%,100.00%,5.05
"spaghetti, tomatoes",turkey,1.98%,100.00%,11.222222222222223
turkey,"spaghetti, tomatoes",1.98%,22.22%,11.222222222222223
spaghetti,"turkey, tomatoes",1.98%,10.00%,5.05
tomatoes,"turkey, spaghetti",1.98%,66.67%,33.66666666666667
"mineral water, salmon, black tea",spaghetti,1.98%,100.00%,5.05
"mineral water, salmon, spaghetti",black tea,1.98%,100.00%,33.66666666666667
"mineral water, black tea, spaghetti",salmon,1.98%,100.00%,20.2
"salmon, black tea, spaghetti",mineral water,1.98%,100.00%,3.8846153846153846
"mineral water, salmon","black tea, spaghetti",1.98%,50.00%,25.25
"mineral water, black tea","salmon, spaghetti",1.98%,100.00%,33.66666666666667
"mineral water, spaghetti","salmon, black tea",1.98%,25.00%,12.625
"salmon, black tea","mineral water, spaghetti",1.98%,100.00%,12.625
"salmon, spaghetti","mineral water, black tea",1.98%,66.67%,33.66666666666667
"black tea, spaghetti","mineral water, salmon",1.98%,100.00%,25.25
mineral water,"salmon, black tea, spaghetti",1.98%,7.69%,3.8846153846153846
salmon,"mineral water, black tea, spaghetti",1.98%,40.00%,20.2
black tea,"mineral water, salmon, spaghetti",1.98%,66.67%,33.66666666666667
spaghetti,"mineral water, salmon, black tea",1.98%,10.00%,5.05
"mineral water, burgers, cooking oil",eggs,1.98%,100.00%,5.315789473684211
"mineral water, cooking oil, eggs",burgers,1.98%,100.00%,10.1
"mineral water, burgers, eggs",cooking oil,1.98%,66.67%,16.833333333333336
"cooking oil, burgers, eggs",mineral water,1.98%,100.00%,3.8846153846153846
"mineral water, cooking oil","burgers, eggs",1.98%,66.67%,13.466666666666667
"mineral water, burgers","cooking oil, eggs",1.98%,66.67%,33.66666666666667
"mineral water, eggs","cooking oil, burgers",1.98%,28.57%,14.428571428571427
"cooking oil, burgers","mineral water, eggs",1.98%,100.00%,14.428571428571427
"cooking oil, eggs","mineral water, burgers",1.98%,100.00%,33.66666666666667
"burgers, eggs","mineral water, cooking oil",1.98%,40.00%,13.466666666666667
mineral water,"cooking oil, burgers, eggs",1.98%,7.69%,3.8846153846153846
cooking oil,"mineral water, burgers, eggs",1.98%,50.00%,16.833333333333336
burgers,"mineral water, cooking oil, eggs",1.98%,20.00%,10.1
eggs,"mineral water, burgers, cooking oil",1.98%,10.53%,5.31578947368421
"mineral water, herb & pepper, burgers",eggs,1.98%,100.00%,5.315789473684211
"mineral water, herb & pepper, eggs",burgers,1.98%,100.00%,10.1
"mineral water, burgers, eggs",herb & pepper,1.98%,66.67%,13.466666666666667
"herb & pepper, burgers, eggs",mineral water,1.98%,100.00%,3.8846153846153846
"mineral water, herb & pepper","burgers, eggs",1.98%,66.67%,13.466666666666667
"mineral water, burgers","herb & pepper, eggs",1.98%,66.67%,33.66666666666667
"mineral water, eggs","herb & pepper, burgers",1.98%,28.57%,14.428571428571427
"herb & pepper, burgers","mineral water, eggs",1.98%,100.00%,14.428571428571427
"herb & pepper, eggs","mineral water, burgers",1.98%,100.00%,33.66666666666667
"burgers, eggs","mineral water, herb & pepper",1.98%,40.00%,13.466666666666667
mineral water,"herb & pepper, burgers, eggs",1.98%,7.69%,3.8846153846153846
herb & pepper,"mineral water, burgers, eggs",1.98%,40.00%,13.466666666666667
burgers,"mineral water, herb & pepper, eggs",1.98%,20.00%,10.1
eggs,"mineral water, herb & pepper, burgers",1.98%,10.53%,5.31578947368421
"ground beef, chocolate, frozen vegetables",spaghetti,1.98%,100.00%,5.05
"ground beef, chocolate, spaghetti",frozen vegetables,1.98%,100.00%,12.625
"ground beef, frozen vegetables, spaghetti",chocolate,1.98%,100.00%,7.769230769230769
"chocolate, frozen vegetables, spaghetti",ground beef,1.98%,100.00%,16.833333333333336
"ground beef, chocolate","frozen vegetables, spaghetti",1.98%,100.00%,20.2
"ground beef, frozen vegetables","chocolate, spaghetti",1.98%,100.00%,25.25
"ground beef, spaghetti","chocolate, frozen vegetables",1.98%,50.00%,16.833333333333336
"chocolate, frozen vegetables","ground beef, spaghetti",1.98%,66.67%,16.833333333333336
"chocolate, spaghetti","ground beef, frozen vegetables",1.98%,50.00%,25.25
"frozen vegetables, spaghetti","ground beef, chocolate",1.98%,40.00%,20.2
ground beef,"chocolate, frozen vegetables, spaghetti",1.98%,33.33%,16.833333333333336
chocolate,"ground beef, frozen vegetables, spaghetti",1.98%,15.38%,7.769230769230769
frozen vegetables,"ground beef, chocolate, spaghetti",1.98%,25.00%,12.625
spaghetti,"ground beef, chocolate, frozen vegetables",1.98%,10.00%,5.05
"frozen smoothie, mineral water, escalope",spaghetti,1.98%,100.00%,5.05
"frozen smoothie, mineral water, spaghetti",escalope,1.98%,100.00%,14.428571428571427
"frozen smoothie, escalope, spaghetti",mineral water,1.98%,100.00%,3.8846153846153846
"mineral water, escalope, spaghetti",frozen smoothie,1.98%,100.00%,25.25
"frozen smoothie, mineral water","escalope, spaghetti",1.98%,66.67%,22.444444444444446
"frozen smoothie, escalope","mineral water, spaghetti",1.98%,100.00%,12.625
"frozen smoothie, spaghetti","mineral water, escalope",1.98%,100.00%,50.5
"mineral water, escalope","frozen smoothie, spaghetti",1.98%,100.00%,50.5
"mineral water, spaghetti","frozen smoothie, escalope",1.98%,25.00%,12.625
"escalope, spaghetti","frozen smoothie, mineral water",1.98%,66.67%,22.444444444444446
frozen smoothie,"mineral water, escalope, spaghetti",1.98%,50.00%,25.25
mineral water,"frozen smoothie, escalope, spaghetti",1.98%,7.69%,3.8846153846153846
escalope,"frozen smoothie, mineral water, spaghetti",1.98%,28.57%,14.428571428571427
spaghetti,"frozen smoothie, mineral water, escalope",1.98%,10.00%,5.05
"mineral water, fresh tuna, frozen vegetables",spaghetti,1.98%,100.00%,5.05
"mineral water, fresh tuna, spaghetti",frozen vegetables,1.98%,66.67%,8.416666666666668
"mineral water, frozen vegetables, spaghetti",fresh tuna,1.98%,66.67%,16.833333333333336
"fresh tuna, frozen vegetables, spaghetti",mineral water,1.98%,100.00%,3.8846153846153846
"mineral water, fresh tuna","frozen vegetables, spaghetti",1.98%,50.00%,10.1
"mineral water, frozen vegetables","fresh tuna, spaghetti",1.98%,50.00%,16.833333333333336
"mineral water, spaghetti","fresh tuna, frozen vegetables",1.98%,25.00%,12.625
"fresh tuna, frozen vegetables","mineral water, spaghetti",1.98%,100.00%,12.625
"fresh tuna, spaghetti","mineral water, frozen vegetables",1.98%,66.67%,16.833333333333336
"frozen vegetables, spaghetti","mineral water, fresh tuna",1.98%,40.00%,10.1
mineral water,"fresh tuna, frozen vegetables, spaghetti",1.98%,7.69%,3.8846153846153846
fresh tuna,"mineral water, frozen vegetables, spaghetti",1.98%,50.00%,16.833333333333336
frozen vegetables,"mineral water, fresh tuna, spaghetti",1.98%,25.00%,8.416666666666668
spaghetti,"mineral water, fresh tuna, frozen vegetables",1.98%,10.00%,5.05
"mineral water, fresh tuna, spaghetti",tomatoes,1.98%,66.67%,22.444444444444446
"mineral water, fresh tuna, tomatoes",spaghetti,1.98%,100.00%,5.05
"mineral water, spaghetti, tomatoes",fresh tuna,1.98%,100.00%,25.25
"fresh tuna, spaghetti, tomatoes",mineral water,1.98%,100.00%,3.8846153846153846
"mineral water, fresh tuna","spaghetti, tomatoes",1.98%,50.00%,25.25
"mineral water, spaghetti","fresh tuna, tomatoes",1.98%,25.00%,12.625
"mineral water, tomatoes","fresh tuna, spaghetti",1.98%,100.00%,33.66666666666667
"fresh tuna, spaghetti","mineral water, tomatoes",1.98%,66.67%,33.66666666666667
"fresh tuna, tomatoes","mineral water, spaghetti",1.98%,100.00%,12.625
"spaghetti, tomatoes","mineral water, fresh tuna",1.98%,100.00%,25.25
mineral water,"fresh tuna, spaghetti, tomatoes",1.98%,7.69%,3.8846153846153846
fresh tuna,"mineral water, spaghetti, tomatoes",1.98%,50.00%,25.25
spaghetti,"mineral water, fresh tuna, tomatoes",1.98%,10.00%,5.05
tomatoes,"mineral water, fresh tuna, spaghetti",1.98%,66.67%,22.444444444444446
"turkey, mineral water, fresh tuna",spaghetti,1.98%,100.00%,5.05
"turkey, mineral water, spaghetti",fresh tuna,1.98%,100.00%,25.25
"turkey, fresh tuna, spaghetti",mineral water,1.98%,100.00%,3.8846153846153846
"mineral water, fresh tuna, spaghetti",turkey,1.98%,66.67%,7.481481481481483
"turkey, mineral water","fresh tuna, spaghetti",1.98%,50.00%,16.833333333333336
"turkey, fresh tuna","mineral water, spaghetti",1.98%,100.00%,12.625
"turkey, spaghetti","mineral water, fresh tuna",1.98%,100.00%,25.25
"mineral water, fresh tuna","turkey, spaghetti",1.98%,50.00%,25.25
"mineral water, spaghetti","turkey, fresh tuna",1.98%,25.00%,12.625
"fresh tuna, spaghetti","turkey, mineral water",1.98%,66.67%,16.833333333333336
turkey,"mineral water, fresh tuna, spaghetti",1.98%,22.22%,7.481481481481483
mineral water,"turkey, fresh tuna, spaghetti",1.98%,7.69%,3.8846153846153846
fresh tuna,"turkey, mineral water, spaghetti",1.98%,50.00%,25.25
spaghetti,"turkey, mineral water, fresh tuna",1.98%,10.00%,5.05
"turkey, mineral water, fresh tuna",tomatoes,1.98%,100.00%,33.66666666666667
"turkey, mineral water, tomatoes",fresh tuna,1.98%,100.00%,25.25
"turkey, fresh tuna, tomatoes",mineral water,1.98%,100.00%,3.8846153846153846
"mineral water, fresh tuna, tomatoes",turkey,1.98%,100.00%,11.222222222222223
"turkey, mineral water","fresh tuna, tomatoes",1.98%,50.00%,25.25
"turkey, fresh tuna","mineral water, tomatoes",1.98%,100.00%,50.5
"turkey, tomatoes","mineral water, fresh tuna",1.98%,100.00%,25.25
"mineral water, fresh tuna","turkey, tomatoes",1.98%,50.00%,25.25
"mineral water, tomatoes","turkey, fresh tuna",1.98%,100.00%,50.5
"fresh tuna, tomatoes","turkey, mineral water",1.98%,100.00%,25.25
turkey,"mineral water, fresh tuna, tomatoes",1.98%,22.22%,11.222222222222223
mineral water,"turkey, fresh tuna, tomatoes",1.98%,7.69%,3.8846153846153846
fresh tuna,"turkey, mineral water, tomatoes",1.98%,50.00%,25.25
tomatoes,"turkey, mineral water, fresh tuna",1.98%,66.67%,33.66666666666667
"turkey, fresh tuna, spaghetti",tomatoes,1.98%,100.00%,33.66666666666667
"turkey, fresh tuna, tomatoes",spaghetti,1.98%,100.00%,5.05
"turkey, spaghetti, tomatoes",fresh tuna,1.98%,100.00%,25.25
"fresh tuna, spaghetti, tomatoes",turkey,1.98%,100.00%,11.222222222222223
"turkey, fresh tuna","spaghetti, tomatoes",1.98%,100.00%,50.5
"turkey, spaghetti","fresh tuna, tomatoes",1.98%,100.00%,50.5
"turkey, tomatoes","fresh tuna, spaghetti",1.98%,100.00%,33.66666666666667
"fresh tuna, spaghetti","turkey, tomatoes",1.98%,66.67%,33.66666666666667
"fresh tuna, tomatoes","turkey, spaghetti",1.98%,100.00%,50.5
"spaghetti, tomatoes","turkey, fresh tuna",1.98%,100.00%,50.5
turkey,"fresh tuna, spaghetti, tomatoes",1.98%,22.22%,11.222222222222223
fresh tuna,"turkey, spaghetti, tomatoes",1.98%,50.00%,25.25
spaghetti,"turkey, fresh tuna, tomatoes",1.98%,10.00%,5.05
tomatoes,"turkey, fresh tuna, spaghetti",1.98%,66.67%,33.66666666666667
"mineral water, milk, spaghetti",ground beef,1.98%,100.00%,16.833333333333336
"mineral water, milk, ground beef",spaghetti,1.98%,100.00%,5.05
"mineral water, spaghetti, ground beef",milk,1.98%,66.67%,9.619047619047619
"ground beef, milk, spaghetti",mineral water,1.98%,100.00%,3.8846153846153846
"mineral water, milk","ground beef, spaghetti",1.98%,66.67%,16.833333333333336
"mineral water, spaghetti","ground beef, milk",1.98%,25.00%,12.625
"mineral water, ground beef","milk, spaghetti",1.98%,40.00%,10.1
"milk, spaghetti","mineral water, ground beef",1.98%,50.00%,10.1
"ground beef, milk","mineral water, spaghetti",1.98%,100.00%,12.625
"ground beef, spaghetti","mineral water, milk",1.98%,50.00%,16.833333333333336
mineral water,"ground beef, milk, spaghetti",1.98%,7.69%,3.8846153846153846
milk,"mineral water, spaghetti, ground beef",1.98%,28.57%,9.619047619047619
spaghetti,"mineral water, milk, ground beef",1.98%,10.00%,5.05
ground beef,"mineral water, milk, spaghetti",1.98%,33.33%,16.833333333333336
"turkey, mineral water, spaghetti",tomatoes,1.98%,100.00%,33.66666666666667
"turkey, mineral water, tomatoes",spaghetti,1.98%,100.00%,5.05
"turkey, spaghetti, tomatoes",mineral water,1.98%,100.00%,3.8846153846153846
"mineral water, spaghetti, tomatoes",turkey,1.98%,100.00%,11.222222222222223
"turkey, mineral water","spaghetti, tomatoes",1.98%,50.00%,25.25
"turkey, spaghetti","mineral water, tomatoes",1.98%,100.00%,50.5
"turkey, tomatoes","mineral water, spaghetti",1.98%,100.00%,12.625
"mineral water, spaghetti","turkey, tomatoes",1.98%,25.00%,12.625
"mineral water, tomatoes","turkey, spaghetti",1.98%,100.00%,50.5
"spaghetti, tomatoes","turkey, mineral water",1.98%,100.00%,25.25
turkey,"mineral water, spaghetti, tomatoes",1.98%,22.22%,11.222222222222223
mineral water,"turkey, spaghetti, tomatoes",1.98%,7.69%,3.8846153846153846
spaghetti,"turkey, mineral water, tomatoes",1.98%,10.00%,5.05
tomatoes,"turkey, mineral water, spaghetti",1.98%,66.67%,33.66666666666667
"turkey, fresh tuna, spaghetti, tomatoes",mineral water,1.98%,100.00%,3.8846153846153846
"mineral water, fresh tuna, spaghetti, tomatoes",turkey,1.98%,100.00%,11.222222222222223
"turkey, mineral water, fresh tuna, spaghetti",tomatoes,1.98%,100.00%,33.66666666666667
"turkey, mineral water, spaghetti, tomatoes",fresh tuna,1.98%,100.00%,25.25
"turkey, mineral water, fresh tuna, tomatoes",spaghetti,1.98%,100.00%,5.05
"fresh tuna, spaghetti, tomatoes","turkey, mineral water",1.98%,100.00%,25.25
"turkey, fresh tuna, spaghetti","mineral water, tomatoes",1.98%,100.00%,50.5
"mineral water, fresh tuna, spaghetti","turkey, tomatoes",1.98%,66.67%,33.66666666666667
"turkey, spaghetti, tomatoes","mineral water, fresh tuna",1.98%,100.00%,25.25
"mineral water, spaghetti, tomatoes","turkey, fresh tuna",1.98%,100.00%,50.5
"turkey, mineral water, spaghetti","fresh tuna, tomatoes",1.98%,100.00%,50.5
"turkey, fresh tuna, tomatoes","mineral water, spaghetti",1.98%,100.00%,12.625
"mineral water, fresh tuna, tomatoes","turkey, spaghetti",1.98%,100.00%,50.5
"turkey, mineral water, fresh tuna","spaghetti, tomatoes",1.98%,100.00%,50.5
"turkey, mineral water, tomatoes","fresh tuna, spaghetti",1.98%,100.00%,33.66666666666667
"fresh tuna, spaghetti","turkey, mineral water, tomatoes",1.98%,66.67%,33.66666666666667
"spaghetti, tomatoes","turkey, mineral water, fresh tuna",1.98%,100.00%,50.5
"turkey, spaghetti","mineral water, fresh tuna, tomatoes",1.98%,100.00%,50.5
"mineral water, spaghetti","turkey, fresh tuna, tomatoes",1.98%,25.00%,12.625
"fresh tuna, tomatoes","turkey, mineral water, spaghetti",1.98%,100.00%,50.5
"turkey, fresh tuna","mineral water, spaghetti, tomatoes",1.98%,100.00%,50.5
"mineral water, fresh tuna","turkey, spaghetti, tomatoes",1.98%,50.00%,25.25
"turkey, tomatoes","mineral water, fresh tuna, spaghetti",1.98%,100.00%,33.66666666666667
"mineral water, tomatoes","turkey, fresh tuna, spaghetti",1.98%,100.00%,50.5
"turkey, mineral water","fresh tuna, spaghetti, tomatoes",1.98%,50.00%,25.25
spaghetti,"turkey, mineral water, fresh tuna, tomatoes",1.98%,10.00%,5.05
fresh tuna,"turkey, mineral water, spaghetti, tomatoes",1.98%,50.00%,25.25
tomatoes,"turkey, mineral water, fresh tuna, spaghetti",1.98%,66.67%,33.66666666666667
turkey,"mineral water, fresh tuna, spaghetti, tomatoes",1.98%,22.22%,11.222222222222223
mineral water,"turkey, fresh tuna, spaghetti, tomatoes",1.98%,7.69%,3.8846153846153846
